run_id,plan_found,plan_cost,plan_length,num_actions_generated,num_evals,num_get_actions_calls,num_goal_tests,num_states_generated,search_time_seconds,num_iterations,num_search_steps
1,true,67.0,67,10078,6597,3439,3440,6595,0.003,2,6597
2,true,105.0,105,4559,2943,1567,1568,2941,0.0015,2,2943
3,true,111.0,111,3881,2478,1323,1324,2477,0.0011,1,2478
4,true,96.0,96,52516,34558,17896,17897,34557,0.0138,1,34558
5,true,81.0,81,6422,4175,2188,2189,4174,0.0015,1,4175
6,true,97.0,97,557,304,191,192,301,0.0001,3,304
7,true,78.0,78,2351,1504,804,805,1500,0.0005,4,1504
8,true,93.0,93,9453,6146,3243,3244,6144,0.0022,2,6146
9,true,78.0,78,494379,325994,168340,168341,325993,0.0794,1,325994
10,true,116.0,116,17270,11323,5879,5880,11320,0.0027,3,11323
11,true,74.0,74,2790,1790,952,953,1788,0.0004,2,1790
12,true,111.0,111,46655,30678,15911,15912,30675,0.0072,3,30678
13,true,62.0,62,8093,5301,2764,2765,5300,0.0012,1,5301
14,true,148.0,148,4863,3085,1669,1670,3083,0.0008,2,3085
15,true,84.0,84,13667,8949,4664,4665,8947,0.0021,2,8949
16,true,66.0,66,18842,12293,6507,6508,12292,0.0029,1,12293
17,true,89.0,89,6968,4554,2368,2369,4553,0.0011,1,4554
18,true,104.0,104,717,410,246,247,408,0.0001,2,410
19,true,95.0,95,4842,3139,1643,1644,3138,0.0008,1,3139
20,true,97.0,97,5224,3352,1808,1809,3351,0.0008,1,3352
21,true,62.0,62,5304,3478,1795,1796,3476,0.0008,2,3478
22,true,67.0,67,13183,8624,4519,4520,8623,0.002,1,8624
23,true,112.0,112,3801,2424,1296,1297,2423,0.0006,1,2424
24,true,82.0,82,812,475,280,281,474,0.0001,1,475
25,true,100.0,100,56649,37362,19230,19231,37360,0.0088,2,37362
26,true,105.0,105,30818,20071,10683,10684,20069,0.0048,2,20071
27,true,72.0,72,4986,3234,1719,1720,3233,0.0008,1,3234
28,true,121.0,121,10509,6793,3638,3639,6792,0.0016,1,6793
29,true,106.0,106,679,368,234,235,367,0.0001,1,368
30,true,60.0,60,6168,3978,2152,2153,3977,0.0009,1,3978
31,true,72.0,72,11251,7376,3842,3843,7374,0.0017,2,7376
32,true,93.0,93,9821,6427,3339,3340,6426,0.0015,1,6427
33,true,49.0,49,1191,765,405,406,761,0.0002,4,765
34,true,110.0,110,22728,14924,7730,7731,14923,0.0035,1,14924
35,true,115.0,115,16151,10592,5488,5489,10591,0.0026,1,10592
36,true,80.0,80,3191,2035,1105,1106,2033,0.0005,2,2035
37,true,99.0,99,1841,1149,628,629,1147,0.0003,2,1149
38,true,52.0,52,4022,2608,1383,1384,2607,0.0006,1,2608
39,true,97.0,97,3069,1952,1054,1055,1951,0.0005,1,1952
40,true,83.0,83,20077,13180,6851,6852,13177,0.0031,3,13180
41,true,74.0,74,6503,4264,2200,2201,4262,0.001,2,4264
42,true,122.0,122,867,483,295,296,481,0.0001,2,483
43,true,92.0,92,37727,24663,13001,13002,24661,0.0058,2,24663
44,true,67.0,67,13313,8739,4536,4537,8738,0.002,1,8739
45,true,72.0,72,8153,5305,2802,2803,5303,0.0012,2,5305
46,true,93.0,93,748,429,257,258,428,0.0001,1,429
47,true,36.0,36,672,430,228,229,429,0.0001,1,430
48,true,57.0,57,1803,1153,629,630,1151,0.0003,2,1153
49,true,110.0,110,2616,1655,891,892,1654,0.0004,1,1655
50,true,112.0,112,1039,602,366,367,600,0.0001,2,602
51,true,102.0,102,40251,26533,13658,13659,26532,0.0062,1,26533
52,true,62.0,62,19221,12551,6626,6627,12550,0.003,1,12551
53,true,94.0,94,442,225,149,150,223,0.0001,2,225
54,true,77.0,77,3826,2480,1294,1295,2477,0.0006,3,2480
55,true,69.0,69,14366,9440,4885,4886,9438,0.0022,2,9440
56,true,73.0,73,1941,1237,656,657,1235,0.0003,2,1237
57,true,86.0,86,9350,6077,3228,3229,6076,0.0014,1,6077
58,true,107.0,107,3044,1945,1036,1037,1942,0.0005,3,1945
59,true,86.0,86,16221,10619,5551,5552,10618,0.0025,1,10619
60,true,101.0,101,2855,1800,980,981,1799,0.0004,1,1800
61,true,78.0,78,7260,4729,2477,2478,4727,0.0011,2,4729
62,true,122.0,122,20456,13321,7060,7061,13320,0.0031,1,13321
63,true,63.0,63,54485,35941,18511,18512,35939,0.0085,2,35941
64,true,101.0,101,2334,1481,796,797,1480,0.0003,1,1481
65,true,97.0,97,25838,16854,8925,8926,16853,0.0039,1,16854
66,true,70.0,70,2704,1732,923,924,1731,0.0004,1,1732
67,true,71.0,71,2103,1339,716,717,1337,0.0003,2,1339
68,true,84.0,84,121748,80246,41462,41463,80245,0.0189,1,80246
69,true,90.0,90,2184,1364,756,757,1363,0.0003,1,1364
70,true,109.0,109,744,411,254,255,410,0.0001,1,411
71,true,114.0,114,14407,9386,4952,4953,9385,0.0022,1,9386
72,true,97.0,97,626,348,215,216,347,0.0001,1,348
73,true,91.0,91,705,393,241,242,391,0.0001,2,393
74,true,94.0,94,21822,14223,7548,7549,14219,0.0033,4,14223
75,true,81.0,81,2891,1846,996,997,1845,0.0004,1,1846
76,true,70.0,70,987,605,331,332,604,0.0001,1,605
77,true,62.0,62,63684,41715,21938,21939,41714,0.0098,1,41715
78,true,64.0,64,8947,5882,3043,3044,5880,0.0014,2,5882
79,true,98.0,98,4464,2885,1514,1515,2884,0.0007,1,2885
80,true,62.0,62,8987,5865,3077,3078,5864,0.0014,1,5865
81,true,59.0,59,1819,1160,626,627,1159,0.0003,1,1160
82,true,112.0,112,2108,1324,711,712,1323,0.0003,1,1324
83,true,131.0,131,19145,12535,6520,6521,12533,0.0029,2,12535
84,true,68.0,68,3516,2266,1212,1213,2264,0.0005,2,2266
85,true,61.0,61,7440,4872,2539,2540,4869,0.0011,3,4872
86,true,82.0,82,1982,1245,692,693,1243,0.0003,2,1245
87,true,101.0,101,6894,4472,2353,2354,4471,0.001,1,4472
88,true,82.0,82,3315,2128,1133,1134,2125,0.0005,3,2128
89,true,94.0,94,539,289,185,186,287,0.0001,2,289
90,true,113.0,113,1621,989,557,558,988,0.0002,1,989
91,true,100.0,100,3889,2478,1348,1349,2477,0.0006,1,2478
92,true,114.0,114,6258,4055,2134,2135,4053,0.001,2,4055
93,true,97.0,97,683,380,234,235,379,0.0001,1,380
94,true,88.0,88,20532,13433,7045,7046,13431,0.0031,2,13433
95,true,68.0,68,3584,2319,1218,1219,2318,0.0005,1,2319
96,true,106.0,106,8715,5672,2976,2977,5670,0.0013,2,5672
97,true,104.0,104,1371,843,466,467,841,0.0002,2,843
98,true,77.0,77,17135,11238,5845,5846,11237,0.0026,1,11238
99,true,102.0,102,7592,4890,2637,2638,4888,0.0012,2,4890
100,true,110.0,110,1974,1239,660,661,1237,0.0003,2,1239
