run_id,plan_found,plan_cost,plan_length,num_actions_generated,num_evals,num_get_actions_calls,num_goal_tests,num_states_generated,search_time_seconds,num_iterations,num_search_steps
1,true,41.0,41,10855,7021,3828,3829,7011,0.0036,10,7021
2,true,49.0,49,240178,156505,83655,83656,156499,0.0483,6,156505
3,true,45.0,45,23737,15499,8209,8210,15498,0.0036,1,15499
4,true,40.0,40,3582,2321,1239,1240,2320,0.0005,1,2321
5,true,35.0,35,23487,15310,8162,8163,15308,0.0036,2,15310
6,true,45.0,45,3598,2327,1257,1258,2322,0.0005,5,2327
7,true,42.0,42,80036,51725,28309,28310,51713,0.0122,12,51725
8,true,41.0,41,15048,9816,5209,5210,9814,0.0023,2,9816
9,true,40.0,40,51068,33407,17643,17644,33404,0.0079,3,33407
10,true,52.0,52,6307,4076,2220,2221,4073,0.001,3,4076
11,true,34.0,34,306,190,102,103,188,0.0000,2,190
12,true,51.0,51,3290,2139,1129,1130,2136,0.0005,3,2139
13,true,40.0,40,201411,131809,69599,69600,131798,0.031,11,131809
14,true,64.0,64,22696,14644,8018,8019,14642,0.0035,2,14644
15,true,40.0,40,79141,51456,27670,27671,51451,0.0122,5,51456
16,true,32.0,32,2179,1408,758,759,1404,0.0003,4,1408
17,true,43.0,43,28721,18697,10008,10009,18693,0.0044,4,18697
18,true,44.0,44,31623,20571,11029,11030,20569,0.0049,2,20571
19,true,45.0,45,107333,70179,37135,37136,70176,0.0166,3,70179
20,true,45.0,45,852,538,294,295,536,0.0001,2,538
21,true,36.0,36,28231,18447,9774,9775,18440,0.0043,7,18447
22,true,31.0,31,10037,6561,3469,3470,6556,0.0015,5,6561
23,true,44.0,44,37696,24651,13021,13022,24650,0.0059,1,24651
24,true,36.0,36,816,515,282,283,514,0.0001,1,515
25,true,48.0,48,1258,809,427,428,806,0.0002,3,809
26,true,47.0,47,34868,22580,12270,12271,22575,0.0054,5,22580
27,true,38.0,38,71605,46457,25150,25151,46448,0.0109,9,46457
28,true,53.0,53,43003,27838,15141,15142,27836,0.0066,2,27838
29,true,48.0,48,42912,27919,14969,14970,27918,0.0066,1,27919
30,true,32.0,32,68744,44924,23817,23818,44915,0.0107,9,44924
31,true,38.0,38,46352,30078,16278,16279,30068,0.0071,10,30078
32,true,45.0,45,48527,31669,16835,16836,31667,0.0075,2,31669
33,true,25.0,25,5803,3797,2010,2011,3788,0.0009,9,3797
34,true,50.0,50,12431,8122,4281,4282,8121,0.0019,1,8122
35,true,51.0,51,55226,36046,19149,19150,36045,0.0085,1,36046
36,true,36.0,36,8592,5626,2945,2946,5624,0.0013,2,5626
37,true,43.0,43,2617,1678,917,918,1676,0.0004,2,1678
38,true,24.0,24,4701,3088,1605,1606,3085,0.0007,3,3088
39,true,45.0,45,10377,6757,3597,3598,6753,0.0016,4,6757
40,true,37.0,37,4611,2988,1611,1612,2983,0.0007,5,2988
41,true,38.0,38,80086,52274,27805,27806,52268,0.0123,6,52274
42,true,56.0,56,5355,3469,1852,1853,3467,0.0009,2,3469
43,true,42.0,42,2004,1300,682,683,1298,0.0003,2,1300
44,true,39.0,39,47812,30991,16818,16819,30983,0.0073,8,30991
45,true,36.0,36,132847,86653,46190,46191,86644,0.0205,9,86653
46,true,41.0,41,2863,1846,994,995,1844,0.0004,2,1846
47,true,26.0,26,31182,20457,10739,10740,20445,0.0048,12,20457
48,true,33.0,33,21715,14219,7493,7494,14212,0.0033,7,14219
49,true,46.0,46,21215,13849,7340,7341,13848,0.0033,1,13849
50,true,52.0,52,27877,17996,9853,9854,17993,0.0042,3,17996
51,true,44.0,44,13872,9036,4814,4815,9035,0.0021,1,9036
52,true,42.0,42,269287,175541,93745,93746,175528,0.0416,13,175541
53,true,42.0,42,21536,14120,7395,7396,14117,0.0033,3,14120
54,true,37.0,37,10113,6604,3497,3498,6599,0.0016,5,6604
55,true,39.0,39,53104,34571,18531,18532,34562,0.0082,9,34571
56,true,31.0,31,2330,1537,780,781,1535,0.0004,2,1537
57,true,42.0,42,18142,11791,6337,6338,11787,0.0028,4,11791
58,true,45.0,45,12380,8093,4269,4270,8090,0.002,3,8093
59,true,40.0,40,9413,6076,3316,3317,6071,0.0014,5,6076
60,true,43.0,43,13308,8694,4597,4598,8692,0.002,2,8694
61,true,36.0,36,1546,999,530,531,997,0.0002,2,999
62,true,50.0,50,8426,5457,2946,2947,5456,0.0013,1,5457
63,true,33.0,33,55184,35954,19229,19230,35944,0.0086,10,35954
64,true,43.0,43,1764,1126,619,620,1124,0.0003,2,1126
