heuristic
5.94968
6.94701
6.30642
4.84095
5.56948
4.9676
5.3131
8.3715
6.49657
6.97157
5.07074
8.43856
4.8873
10.1732
7.16003
4.07543
6.03377
4.88741
6.37908
6.8811
4.14614
5.09177
7.62435
7.18654
6.90927
6.0263
3.61317
8.25566
7.43344
4.97222
4.74766
8.03781
2.91836
6.28463
7.654
6.16753
6.77226
3.48301
5.66475
4.28781
5.1263
8.35408
8.37385
4.98351
5.67706
7.09848
2.68301
3.56032
7.70887
7.05685
6.52269
5.57637
8.10963
4.21122
4.01086
5.3219
5.93582
6.09214
5.52193
7.33579
3.57392
7.28456
4.16003
7.34297
5.37395
5.93059
4.80094
5.7553
5.91714
7.27345
6.61999
7.29524
7.00447
5.85054
6.21086
5.72698
4.8303
4.94372
5.06634
5.93654
5.60718
6.26526
9.34297
4.95754
3.74722
6.36789
8.16122
6.12713
6.08658
9.69852
7.0434
7.54582
7.84845
4.81443
5.48023
5.86006
5.39971
6.29574
5.76158
6.74058
