run_id,plan_found,plan_cost,plan_length,num_actions_generated,num_evals,num_get_actions_calls,num_goal_tests,num_states_generated,search_time_seconds,num_reexpansions,num_reopenings,num_search_steps
1,true,41.0,41,6776,4271,2399,2400,6776,0.0039,0,0,2400
2,true,51.0,51,59259,37609,20780,20781,59259,0.0388,0,0,20781
3,true,35.0,35,780,510,268,269,780,0.0004,0,0,269
4,true,34.0,34,1044,676,362,363,1044,0.0005,0,0,363
5,true,35.0,35,9791,6261,3394,3395,9791,0.0052,0,0,3395
6,true,43.0,43,5735,3689,2009,2010,5735,0.0031,0,0,2010
7,true,40.0,40,22226,14101,7835,7836,22226,0.0133,0,0,7836
8,true,41.0,41,15380,9866,5329,5330,15380,0.0081,0,0,5330
9,true,38.0,38,30332,19253,10530,10531,30332,0.0178,0,0,10531
10,true,48.0,48,2807,1808,972,973,2807,0.0014,0,0,973
11,true,32.0,32,506,336,171,172,506,0.0002,0,0,172
12,true,45.0,45,1708,1100,596,597,1708,0.0009,0,0,597
13,true,34.0,34,35436,22244,12321,12322,35436,0.0229,0,0,12322
14,true,60.0,60,33653,21343,11842,11843,33653,0.0201,0,0,11843
15,true,40.0,40,16935,10751,5942,5943,16935,0.0108,0,0,5943
16,true,30.0,30,1494,962,519,520,1494,0.0008,0,0,520
17,true,41.0,41,23352,14851,8156,8157,23352,0.0146,0,0,8157
18,true,34.0,34,6265,3999,2169,2170,6265,0.0031,0,0,2170
19,true,43.0,43,31742,20109,11071,11072,31742,0.0177,0,0,11072
20,true,41.0,41,589,378,207,208,589,0.0003,0,0,208
21,true,34.0,34,13638,8639,4737,4738,13638,0.0068,0,0,4738
22,true,31.0,31,3706,2364,1284,1285,3706,0.0018,0,0,1285
23,true,42.0,42,2882,1840,997,998,2882,0.0014,0,0,998
24,true,32.0,32,1002,654,343,344,1002,0.0005,0,0,344
25,true,38.0,38,1246,818,426,427,1246,0.0006,0,0,427
26,true,45.0,45,12999,8271,4590,4591,12999,0.0067,0,0,4591
27,true,38.0,38,28054,17813,9858,9859,28054,0.0151,0,0,9859
28,true,53.0,53,9708,6192,3429,3430,9708,0.0059,0,0,3430
29,true,46.0,46,40942,26044,14308,14309,40942,0.0373,0,0,14309
30,true,32.0,32,11530,7306,4010,4011,11530,0.0072,0,0,4011
31,true,40.0,40,11465,7317,4041,4042,11465,0.0073,0,0,4042
32,true,39.0,39,37433,23828,13034,13035,37433,0.023,0,0,13035
33,true,25.0,25,1678,1081,584,585,1678,0.0009,0,0,585
34,true,42.0,42,2004,1298,696,697,2004,0.001,0,0,697
35,true,43.0,43,14465,9263,5037,5038,14465,0.0082,0,0,5038
36,true,32.0,32,924,602,317,318,924,0.0004,0,0,318
37,true,43.0,43,2938,1888,1032,1033,2938,0.0015,0,0,1033
38,true,26.0,26,1229,793,423,424,1229,0.0006,0,0,424
39,true,41.0,41,4617,2991,1607,1608,4617,0.0024,0,0,1608
40,true,35.0,35,3821,2465,1340,1341,3821,0.002,0,0,1341
41,true,38.0,38,12109,7731,4224,4225,12109,0.0065,0,0,4225
42,true,50.0,50,6564,4217,2280,2281,6564,0.0053,0,0,2281
43,true,42.0,42,9765,6253,3374,3375,9765,0.0115,0,0,3375
44,true,37.0,37,26181,16399,9207,9208,26181,0.0194,0,0,9208
45,true,40.0,40,43894,27684,15304,15305,43894,0.0307,0,0,15305
46,true,41.0,41,2154,1384,752,753,2154,0.0011,0,0,753
47,true,24.0,24,3488,2232,1205,1206,3488,0.0017,0,0,1206
48,true,33.0,33,7211,4553,2500,2501,7211,0.0035,0,0,2501
49,true,44.0,44,8677,5529,3035,3036,8677,0.0045,0,0,3036
50,true,50.0,50,5908,3791,2072,2073,5908,0.003,0,0,2073
51,true,42.0,42,2452,1567,859,860,2452,0.0012,0,0,860
52,true,42.0,42,48615,30490,16974,16975,48615,0.029,0,0,16975
53,true,40.0,40,12182,7783,4205,4206,12182,0.0065,0,0,4206
54,true,37.0,37,5026,3233,1736,1737,5026,0.0025,0,0,1737
55,true,39.0,39,14010,8866,4908,4909,14010,0.0075,0,0,4909
56,true,31.0,31,1057,698,358,359,1057,0.0005,0,0,359
57,true,36.0,36,9509,6086,3309,3310,9509,0.0048,0,0,3310
58,true,43.0,43,13497,8625,4719,4720,13497,0.0071,0,0,4720
59,true,32.0,32,4710,3017,1638,1639,4710,0.0025,0,0,1639
60,true,45.0,45,10625,6773,3705,3706,10625,0.0077,0,0,3706
61,true,36.0,36,1239,807,425,426,1239,0.0009,0,0,426
62,true,46.0,46,1635,1060,575,576,1635,0.0009,0,0,576
63,true,33.0,33,12092,7639,4219,4220,12092,0.0073,0,0,4220
64,true,41.0,41,4238,2720,1475,1476,4238,0.0021,0,0,1476
65,true,39.0,39,8040,5107,2788,2789,8040,0.0043,0,0,2789
66,true,36.0,36,17853,11282,6283,6284,17853,0.01,0,0,6284
67,true,37.0,37,3084,1973,1078,1079,3084,0.0016,0,0,1079
68,true,42.0,42,13920,8894,4882,4883,13920,0.0074,0,0,4883
69,true,46.0,46,35036,22192,12299,12300,35036,0.0187,0,0,12300
70,true,35.0,35,902,585,315,316,902,0.0004,0,0,316
71,true,48.0,48,11886,7595,4147,4148,11886,0.006,0,0,4148
72,true,35.0,35,188,127,63,64,188,0.0001,0,0,64
73,true,43.0,43,2383,1533,825,826,2383,0.0012,0,0,826
74,true,40.0,40,2406,1545,851,852,2406,0.0012,0,0,852
75,true,35.0,35,3789,2420,1321,1322,3789,0.0018,0,0,1322
76,true,44.0,44,18860,11878,6691,6692,18860,0.0101,0,0,6692
77,true,32.0,32,3416,2199,1183,1184,3416,0.0017,0,0,1184
78,true,30.0,30,6786,4333,2353,2354,6786,0.0033,0,0,2354
79,true,46.0,46,8374,5362,2914,2915,8374,0.0041,0,0,2915
80,true,32.0,32,2937,1898,1019,1020,2937,0.0014,0,0,1020
81,true,29.0,29,6668,4276,2295,2296,6668,0.0032,0,0,2296
82,true,44.0,44,21992,14013,7708,7709,21992,0.0115,0,0,7709
83,true,43.0,43,13129,8406,4580,4581,13129,0.0067,0,0,4581
84,true,34.0,34,26304,16675,9169,9170,26304,0.0144,0,0,9170
85,true,35.0,35,2721,1741,953,954,2721,0.0014,0,0,954
86,true,34.0,34,5984,3822,2086,2087,5984,0.0031,0,0,2087
87,true,43.0,43,6252,3987,2156,2157,6252,0.0032,0,0,2157
88,true,38.0,38,5294,3396,1855,1856,5294,0.0025,0,0,1856
89,true,44.0,44,18365,11687,6408,6409,18365,0.0093,0,0,6409
90,true,45.0,45,1883,1216,663,664,1883,0.0009,0,0,664
91,true,48.0,48,75650,47779,26554,26555,75650,0.0473,0,0,26555
92,true,52.0,52,27929,17856,9722,9723,27929,0.0157,0,0,9723
93,true,39.0,39,2922,1883,1021,1022,2922,0.0014,0,0,1022
94,true,46.0,46,17790,11194,6219,6220,17790,0.0096,0,0,6220
95,true,34.0,34,7380,4727,2532,2533,7380,0.004,0,0,2533
96,true,40.0,40,7807,5004,2748,2749,7807,0.0039,0,0,2749
97,true,38.0,38,624,411,212,213,624,0.0003,0,0,213
98,true,39.0,39,4248,2700,1490,1491,4248,0.0024,0,0,1491
99,true,42.0,42,24363,15548,8502,8503,24363,0.0144,0,0,8503
100,true,42.0,42,8446,5393,2958,2959,8446,0.0045,0,0,2959
